0|0|07/04/2023 02:00:00 PM|NOTSTARTED|True
1|0|03/04/2023 04:00:00 PM|NOTSTARTED|True
2|1|11/04/2023 04:00:00 PM|NOTSTARTED|True
3|1|07/04/2023 07:00:00 PM|NOTSTARTED|True
4|2|07/04/2023 06:00:00 PM|NOTSTARTED|True
5|2|07/04/2023 08:00:00 PM|NOTSTARTED|True
6|3|07/04/2023 01:00:00 PM|NOTSTARTED|True
7|4|07/04/2023 01:00:00 AM|NOTSTARTED|True
8|4|07/04/2023 08:00:00 AM|NOTSTARTED|True
9|4|07/04/2023 02:00:00 PM|NOTSTARTED|True
10|5|07/04/2023 11:00:00 AM|NOTSTARTED|True
11|6|13/04/2023 02:00:00 PM|NOTSTARTED|True
12|7|07/04/2023 01:00:00 PM|NOTSTARTED|True
13|7|08/04/2023 04:00:00 PM|NOTSTARTED|True
14|8|08/04/2023 01:00:00 PM|NOTSTARTED|True
15|8|07/04/2023 02:00:00 PM|COMPLETED|True
16|9|10/04/2023 02:00:00 PM|COMPLETED|True
17|10|14/04/2023 12:00:00 PM|NOTSTARTED|False
18|3|07/04/2023 02:00:00 PM|COMPLETED|True
19|3|10/04/2023 02:00:00 PM|COMPLETED|True
20|11|11/04/2022 01:00:00 PM|COMPLETED|True
21|12|24/04/2023 11:00:00 PM|COMPLETED|True
22|13|24/04/2023 03:00:00 PM|COMPLETED|True
23|14|26/04/2023 06:00:00 PM|COMPLETED|True
24|15|26/04/2023 07:00:00 PM|COMPLETED|True
25|16|26/04/2023 08:00:00 PM|NOTSTARTED|True
26|18|26/04/2023 11:00:00 AM|NOTSTARTED|True
27|19|04/05/2023 03:00:00 PM|COMPLETED|True
28|20|06/05/2023 10:45:00 AM|NOTSTARTED|True
29|21|09/05/2023 02:00:00 PM|NOTSTARTED|True
30|22|09/05/2023 04:00:00 PM|NOTSTARTED|True
31|23|15/05/2023 10:00:00 PM|NOTSTARTED|True
32|24|26/05/2023 03:00:00 PM|NOTSTARTED|True
33|24|28/05/2023 02:00:00 PM|NOTSTARTED|True
34|25|29/05/2023 01:00:00 PM|NOTSTARTED|True
35|25|01/05/2023 04:00:00 PM|NOTSTARTED|True
